iter	Passed	Remaining
0	1	117
1	2	102
2	3	100
3	4	108
4	6	116
5	8	125
6	9	126
7	10	119
8	12	121
9	14	128
10	16	129
11	18	134
12	19	129
13	20	127
14	22	128
15	24	130
16	26	131
17	28	128
18	30	129
19	32	129
20	34	129
21	35	127
22	37	124
23	39	123
24	40	120
25	41	118
26	43	118
27	45	117
28	47	115
29	49	114
30	51	114
31	53	113
32	54	111
33	56	109
34	58	107
35	59	106
36	62	105
37	63	104
38	65	102
39	67	100
40	68	98
41	69	95
42	70	93
43	72	92
44	74	90
45	76	89
46	78	88
47	79	86
48	81	84
49	83	83
50	83	80
51	85	78
52	86	77
53	88	75
54	90	73
55	90	71
56	92	69
57	94	68
58	95	66
59	96	64
60	98	63
61	100	61
62	102	60
63	104	58
64	106	57
65	108	55
66	110	54
67	112	52
68	114	51
69	116	50
70	118	48
71	120	46
72	122	45
73	125	44
74	128	42
75	130	41
76	132	39
77	135	38
78	137	36
79	138	34
80	140	32
81	142	31
82	144	29
83	145	27
84	147	26
85	149	24
86	150	22
87	151	20
88	153	18
89	155	17
90	157	15
91	158	13
92	160	12
93	161	10
94	163	8
95	165	6
96	166	5
97	167	3
98	169	1
99	170	0
