iter	Passed	Remaining
0	109	109879
1	113	56731
2	115	38514
3	117	29290
4	119	23774
5	121	20073
6	123	17558
7	125	15550
8	126	13982
9	128	12690
10	129	11636
11	130	10735
12	131	10018
13	133	9397
14	134	8842
15	136	8390
16	137	7950
17	138	7565
18	139	7206
19	140	6889
20	141	6607
21	143	6375
22	144	6133
23	145	5910
24	146	5700
25	147	5509
26	147	5332
27	148	5166
28	149	5015
29	150	4872
30	151	4739
31	152	4611
32	153	4492
33	155	4411
34	156	4311
35	157	4213
36	158	4117
37	159	4027
38	159	3939
39	160	3860
40	162	3789
41	163	3718
42	163	3648
43	164	3582
44	165	3516
45	166	3455
46	167	3396
47	168	3339
48	169	3284
49	170	3232
50	171	3183
51	172	3135
52	173	3092
53	174	3049
54	174	3006
55	175	2962
56	176	2921
57	177	2880
58	178	2843
59	179	2807
60	180	2778
61	181	2746
62	182	2715
63	183	2684
64	184	2651
65	185	2622
66	186	2594
67	187	2565
68	188	2538
69	189	2511
70	189	2485
71	191	2474
72	193	2451
73	194	2429
74	195	2406
75	196	2383
76	196	2360
77	197	2337
78	198	2315
79	199	2294
80	200	2275
81	201	2255
82	202	2232
83	202	2211
84	203	2194
85	204	2177
86	206	2164
87	207	2147
88	208	2130
89	209	2114
90	210	2107
91	212	2094
92	213	2078
93	214	2063
94	214	2047
95	216	2040
96	217	2024
97	218	2010
98	219	1994
99	220	1980
100	220	1966
101	221	1953
102	222	1940
103	223	1928
104	224	1917
105	226	1906
106	226	1893
107	227	1882
108	228	1871
109	229	1858
110	230	1847
111	231	1835
112	232	1824
113	233	1813
114	234	1802
115	235	1791
116	235	1780
117	236	1770
118	237	1760
119	238	1750
120	239	1740
121	240	1728
122	241	1719
123	242	1710
124	242	1699
125	243	1691
126	244	1681
127	245	1672
128	246	1664
129	247	1656
130	248	1647
131	249	1638
132	250	1629
133	251	1622
134	251	1614
135	252	1606
136	253	1599
137	254	1592
138	255	1585
139	256	1577
140	257	1570
141	258	1561
142	259	1553
143	260	1546
144	260	1538
145	261	1531
146	262	1525
147	263	1518
148	264	1512
149	265	1505
150	266	1499
151	267	1492
152	268	1485
153	269	1479
154	270	1472
155	271	1466
156	271	1459
157	272	1454
158	274	1449
159	275	1444
160	275	1436
161	276	1431
162	277	1425
163	278	1419
164	279	1414
165	280	1408
166	281	1403
167	282	1398
168	283	1393
169	284	1389
170	285	1384
171	286	1378
172	287	1373
173	288	1368
174	289	1363
175	290	1358
176	291	1353
177	292	1348
178	293	1344
179	294	1339
180	295	1335
181	295	1330
182	296	1325
183	297	1320
184	298	1315
185	299	1310
186	300	1305
187	301	1300
188	301	1295
189	302	1291
190	304	1288
191	305	1283
192	306	1279
193	306	1275
194	307	1270
195	308	1266
196	309	1261
197	310	1257
198	311	1252
199	312	1248
200	313	1244
201	313	1240
202	314	1236
203	315	1231
204	316	1227
205	317	1223
206	318	1218
207	319	1215
208	319	1210
209	320	1206
210	321	1202
211	322	1197
212	323	1193
213	324	1190
214	324	1186
215	325	1182
216	326	1178
217	327	1174
218	328	1170
219	329	1166
220	329	1163
221	330	1159
222	331	1155
223	332	1151
224	333	1148
225	334	1145
226	335	1141
227	336	1138
228	336	1134
229	337	1130
230	338	1127
231	339	1123
232	340	1120
233	341	1117
234	341	1113
235	342	1109
236	343	1106
237	344	1103
238	345	1100
239	346	1097
240	347	1094
241	348	1090
242	349	1088
243	350	1085
244	351	1081
245	352	1078
246	352	1075
247	353	1072
248	354	1069
249	355	1066
250	356	1063
251	357	1061
252	358	1057
253	359	1055
254	360	1052
255	361	1049
256	362	1047
257	363	1044
258	364	1042
259	365	1040
260	366	1038
261	367	1035
262	368	1033
263	369	1030
264	370	1028
265	371	1025
266	372	1023
267	373	1020
268	374	1017
269	375	1015
270	376	1012
271	377	1009
272	378	1007
273	379	1004
274	379	1001
275	380	998
276	381	996
277	382	993
278	383	990
279	384	988
280	385	985
281	386	983
282	386	980
283	387	977
284	388	975
285	389	972
286	390	970
287	391	967
288	392	964
289	393	962
290	394	960
291	394	957
292	395	954
293	396	952
294	397	949
295	398	947
296	399	944
297	399	942
298	400	939
299	401	937
300	403	935
301	404	934
302	405	931
303	406	929
304	407	927
305	408	925
306	409	923
307	410	921
308	411	919
309	412	917
310	413	915
311	414	913
312	415	911
313	416	909
314	417	907
315	418	905
316	419	903
317	420	901
318	421	899
319	422	897
320	423	895
321	424	893
322	425	891
323	426	889
324	427	887
325	428	885
326	429	883
327	430	881
328	431	879
329	431	877
330	432	874
331	433	872
332	434	871
333	435	868
334	436	866
335	437	864
336	438	862
337	439	860
338	440	858
339	441	856
340	442	854
341	443	852
342	444	850
343	445	848
344	446	847
345	447	845
346	448	843
347	449	841
348	450	839
349	451	838
350	452	836
351	453	834
352	454	832
353	455	830
354	456	829
355	457	827
356	458	825
357	459	823
358	460	821
359	461	820
360	462	818
361	463	816
362	464	815
363	466	814
364	467	812
365	468	811
366	469	809
367	470	807
368	471	806
369	472	805
370	474	803
371	475	802
372	476	801
373	478	800
374	479	798
375	480	797
376	481	796
377	483	795
378	484	793
379	486	793
380	487	792
381	488	790
382	490	789
383	491	788
384	492	786
385	493	784
386	494	783
387	496	782
388	497	781
389	498	780
390	500	778
391	501	777
392	502	775
393	503	774
394	504	773
395	505	771
396	507	770
397	508	769
398	510	768
399	511	767
400	512	765
401	514	764
402	515	763
403	517	763
404	518	762
405	520	761
406	522	760
407	523	759
408	525	758
409	526	758
410	528	757
411	529	756
412	531	755
413	532	754
414	533	752
415	535	751
416	537	751
417	539	750
418	540	750
419	542	748
420	543	747
421	544	746
422	546	745
423	548	745
424	550	744
425	551	743
426	553	742
427	554	741
428	556	741
429	558	740
430	560	740
431	562	739
432	562	737
433	564	736
434	566	735
435	568	734
436	569	733
437	570	731
438	571	730
439	573	729
440	575	729
441	577	728
442	579	728
443	581	727
444	582	727
445	584	726
446	586	725
447	589	726
448	591	725
449	592	724
450	594	723
451	596	723
452	598	723
453	601	722
454	603	722
455	605	721
456	606	721
457	608	720
458	610	719
459	611	718
460	613	717
461	615	716
462	617	716
463	620	716
464	622	715
465	624	715
466	626	714
467	627	713
468	629	712
469	631	711
470	633	711
471	634	710
472	636	709
473	638	708
474	640	708
475	642	707
476	644	706
477	645	705
478	647	704
479	649	703
480	651	702
481	653	701
482	654	701
483	656	700
484	659	700
485	661	699
486	663	699
487	665	697
488	665	695
489	667	695
490	670	694
491	671	693
492	672	691
493	674	690
494	674	688
495	676	687
496	677	686
497	679	685
498	681	684
499	683	683
500	685	682
501	687	681
502	689	680
503	691	680
504	693	679
505	695	679
506	697	678
507	699	677
508	701	676
509	703	675
510	705	674
511	707	674
512	709	673
513	711	672
514	713	672
515	716	671
516	718	670
517	720	670
518	722	669
519	724	668
520	726	667
521	728	666
522	730	666
523	733	666
524	735	665
525	738	665
526	740	664
527	741	663
528	742	661
529	744	660
530	746	658
531	747	657
532	749	656
533	751	656
534	753	655
535	755	653
536	756	652
537	757	650
538	759	649
539	761	648
540	763	647
541	765	646
542	766	645
543	769	644
544	771	644
545	773	643
546	775	642
547	777	640
548	778	639
549	780	638
550	782	637
551	784	636
552	785	634
553	787	633
554	788	632
555	791	631
556	793	630
557	794	629
558	796	628
559	798	627
560	800	626
561	802	625
562	805	624
563	806	623
564	807	621
565	809	620
566	812	620
567	813	618
568	814	616
569	815	615
570	817	614
571	819	613
572	821	612
573	822	610
574	824	609
575	825	607
576	827	606
577	829	605
578	831	604
579	833	603
580	835	602
581	837	601
582	838	600
583	841	599
584	843	598
585	844	596
586	845	594
587	847	593
588	849	592
589	852	592
590	853	590
591	855	589
592	857	588
593	858	587
594	860	585
595	863	585
596	865	584
597	868	583
598	870	582
599	872	581
600	873	579
601	875	578
602	876	577
603	878	575
604	879	574
605	882	573
606	883	572
607	885	570
608	886	569
609	888	568
610	890	567
611	893	566
612	895	565
613	898	564
614	900	563
615	903	562
616	904	561
617	906	560
618	908	559
619	910	557
620	912	556
621	913	555
622	915	553
623	917	552
624	918	551
625	920	550
626	923	549
627	924	547
628	926	546
629	928	545
630	930	543
631	931	542
632	933	541
633	935	540
634	937	538
635	939	537
636	941	536
637	943	535
638	944	533
639	946	532
640	948	531
641	950	529
642	952	528
643	954	527
644	956	526
645	958	525
646	960	523
647	962	522
648	964	521
649	965	520
650	967	518
651	969	517
652	971	515
653	973	514
654	975	513
655	976	512
656	978	510
657	980	509
658	982	508
659	984	507
660	986	506
661	988	504
662	990	503
663	992	502
664	994	501
665	996	499
666	998	498
667	1000	497
668	1002	495
669	1003	494
670	1005	492
671	1007	491
672	1009	490
673	1010	488
674	1012	487
675	1014	486
676	1015	484
677	1017	483
678	1018	481
679	1020	480
680	1022	479
681	1024	477
682	1026	476
683	1028	475
684	1030	473
